START_DATE,START_TIME,SUBJECT,END_DATE,END_TIME,REMINDER_ON_OFF,REMINDER_DATE,REMINDER_TIME
4/14/2016,7:05pm,Drillers vs Corpus Christi Hooks,4/14/2016,10:00pm,TRUE,4/14/2016,1:00 PM
4/15/2016,7:05pm,Drillers vs Corpus Christi Hooks,4/15/2016,10:00pm,TRUE,4/15/2016,1:00 PM
4/16/2016,7:05pm,Drillers vs Corpus Christi Hooks,4/16/2016,10:00pm,TRUE,4/16/2016,1:00 PM
4/17/2016,1:05pm,Drillers vs San Antonio Missions,4/17/2016,4:00pm,TRUE,4/17/2016,9:00 AM
4/18/2016,12:05pm,Drillers vs San Antonio Missions,4/18/2016,3:00pm,TRUE,4/18/2016,8:00 AM
4/19/2016,7:05pm,Drillers vs San Antonio Missions,4/19/2016,10:00pm,TRUE,4/19/2016,1:00 PM
4/25/2016,7:05pm,Drillers vs Arkansas Travelers,4/25/2016,10:00pm,TRUE,4/25/2016,1:00 PM
4/26/2016,7:05pm,Drillers vs Arkansas Travelers,4/26/2016,10:00pm,TRUE,4/26/2016,1:00 PM
4/27/2016,11:05am,Drillers vs Arkansas Travelers,4/27/2016,2:00pm,TRUE,4/27/2016,8:00 AM
4/28/2016,7:05pm,Drillers vs Arkansas Travelers,4/28/2016,10:00pm,TRUE,4/28/2016,1:00 PM
4/29/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,4/29/2016,10:00pm,TRUE,4/29/2016,1:00 PM
4/30/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,4/30/2016,10:00pm,TRUE,4/30/2016,1:00 PM
5/1/2016,1:05pm,Drillers vs Northwest Arkansas Naturals,5/1/2016,4:00pm,TRUE,5/1/2016,9:00 AM
5/2/2016,11:05am,Drillers vs Northwest Arkansas Naturals,5/2/2016,2:00pm,TRUE,5/2/2016,8:00 AM
5/7/2016,7:05pm,Drillers vs Springfield Cardinals,5/7/2016,10:00pm,TRUE,5/7/2016,1:00 PM
5/8/2016,1:05pm,Drillers vs Springfield Cardinals,5/8/2016,4:00pm,TRUE,5/8/2016,9:00 AM
5/9/2016,11:05am,Drillers vs Springfield Cardinals,5/9/2016,2:00pm,TRUE,5/9/2016,8:00 AM
5/10/2016,7:05pm,Drillers vs Springfield Cardinals,5/10/2016,10:00pm,TRUE,5/10/2016,1:00 PM
5/11/2016,4:05pm,Drillers vs Arkansas Travelers,5/11/2016,7:00pm,TRUE,5/11/2016,1:00 PM
5/12/2016,7:05pm,Drillers vs Arkansas Travelers,5/12/2016,10:00pm,TRUE,5/12/2016,1:00 PM
5/13/2016,7:05pm,Drillers vs Arkansas Travelers,5/13/2016,10:00pm,TRUE,5/13/2016,1:00 PM
5/14/2016,12:35pm,Drillers vs Arkansas Travelers,5/14/2016,4:00pm,TRUE,5/14/2016,8:00 AM
5/14/2016,7:00pm,Sooners vs Cowboys (Bedlam),5/14/2016,10:00pm,TRUE,5/14/2016,1:00 PM
5/15/2016,2:00pm,Sooners vs Cowboys (Bedlam),5/15/2016,5:00pm,TRUE,5/15/2016,9:00 AM
5/24/2016,7:05pm,Drillers vs Frisco RoughRiders,5/24/2016,10:00pm,TRUE,5/24/2016,1:00 PM
5/25/2016,7:05pm,Drillers vs Frisco RoughRiders,5/25/2016,10:00pm,TRUE,5/25/2016,1:00 PM
5/26/2016,7:05pm,Drillers vs Frisco RoughRiders,5/26/2016,10:00pm,TRUE,5/26/2016,1:00 PM
5/27/2016,7:05pm,Drillers vs Midland RockHounds,5/27/2016,10:00pm,TRUE,5/27/2016,1:00 PM
5/28/2016,7:05pm,Drillers vs Midland RockHounds,5/28/2016,10:00pm,TRUE,5/28/2016,1:00 PM
5/29/2016,7:05pm,Drillers vs Midland RockHounds,5/29/2016,10:00pm,TRUE,5/29/2016,1:00 PM
6/7/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,6/7/2016,10:00pm,TRUE,6/7/2016,1:00 PM
6/8/2016,12:05pm,Drillers vs Northwest Arkansas Naturals,6/8/2016,3:00pm,TRUE,6/8/2016,8:00 AM
6/9/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,6/9/2016,10:00pm,TRUE,6/9/2016,1:00 PM
6/10/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,6/10/2016,10:00pm,TRUE,6/10/2016,1:00 PM
6/19/2016,1:05pm,Drillers vs Springfield Cardinals,6/19/2016,4:00pm,TRUE,6/19/2016,9:00 AM
6/20/2016,7:05pm,Drillers vs Springfield Cardinals,6/20/2016,10:00pm,TRUE,6/20/2016,1:00 PM
6/21/2016,7:05pm,Drillers vs Springfield Cardinals,6/21/2016,10:00pm,TRUE,6/21/2016,1:00 PM
6/22/2016,7:05pm,Drillers vs Springfield Cardinals,6/22/2016,10:00pm,TRUE,6/22/2016,1:00 PM
6/23/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,6/23/2016,10:00pm,TRUE,6/23/2016,1:00 PM
6/24/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,6/24/2016,10:00pm,TRUE,6/24/2016,1:00 PM
6/25/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,6/25/2016,10:00pm,TRUE,6/25/2016,1:00 PM
6/26/2016,1:05pm,Drillers vs Northwest Arkansas Naturals,6/26/2016,4:00pm,TRUE,6/26/2016,9:00 AM
6/28/2016,7:05pm,Texas League All-Star Game-Springfield,6/28/2016,10:00pm,TRUE,6/28/2016,
7/6/2016,7:05pm,Drillers vs San Antonio Missions,7/6/2016,10:00pm,TRUE,7/6/2016,1:00 PM
7/7/2016,7:05pm,Drillers vs San Antonio Missions,7/7/2016,10:00pm,TRUE,7/7/2016,1:00 PM
7/8/2016,7:05pm,Drillers vs San Antonio Missions,7/8/2016,10:00pm,TRUE,7/8/2016,1:00 PM
7/9/2016,7:05pm,Drillers vs Corpus Christi Hooks,7/9/2016,10:00pm,TRUE,7/9/2016,1:00 PM
7/10/2016,1:05pm,Drillers vs Corpus Christi Hooks,7/10/2016,4:00pm,TRUE,7/10/2016,9:00 AM
7/11/2016,7:05pm,Drillers vs Corpus Christi Hooks,7/11/2016,10:00pm,TRUE,7/11/2016,1:00 PM
7/17/2016,1:05pm,Drillers vs Northwest Arkansas Naturals,7/17/2016,4:00pm,TRUE,7/17/2016,9:00 AM
7/18/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,7/18/2016,10:00pm,TRUE,7/18/2016,1:00 PM
7/19/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,7/19/2016,10:00pm,TRUE,7/19/2016,1:00 PM
7/20/2016,7:05pm,Drillers vs Northwest Arkansas Naturals,7/20/2016,10:00pm,TRUE,7/20/2016,1:00 PM
7/25/2016,7:05pm,Drillers vs Springfield Cardinals,7/25/2016,10:00pm,TRUE,7/25/2016,1:00 PM
7/26/2016,7:05pm,Drillers vs Springfield Cardinals,7/26/2016,10:00pm,TRUE,7/26/2016,1:00 PM
7/27/2016,7:05pm,Drillers vs Springfield Cardinals,7/27/2016,10:00pm,TRUE,7/27/2016,1:00 PM
7/28/2016,7:05pm,Drillers vs Arkansas Travelers,7/28/2016,10:00pm,TRUE,7/28/2016,1:00 PM
7/29/2016,7:05pm,Drillers vs Arkansas Travelers,7/29/2016,10:00pm,TRUE,7/29/2016,1:00 PM
7/30/2016,7:05pm,Drillers vs Arkansas Travelers,7/30/2016,10:00pm,TRUE,7/30/2016,1:00 PM
7/31/2016,1:05pm,Drillers vs Arkansas Travelers,7/31/2016,4:00pm,TRUE,7/31/2016,9:00 AM
8/9/2016,7:05pm,Drillers vs Midland RockHounds,8/9/2016,10:00pm,TRUE,8/9/2016,1:00 PM
8/10/2016,7:05pm,Drillers vs Midland RockHounds,8/10/2016,10:00pm,TRUE,8/10/2016,1:00 PM
8/11/2016,7:05pm,Drillers vs Midland RockHounds,8/11/2016,10:00pm,TRUE,8/11/2016,1:00 PM
8/12/2016,7:05pm,Drillers vs Frisco RoughRiders,8/12/2016,10:00pm,TRUE,8/12/2016,1:00 PM
8/13/2016,7:05pm,Drillers vs Frisco RoughRiders,8/13/2016,10:00pm,TRUE,8/13/2016,1:00 PM
8/14/2016,1:05pm,Drillers vs Frisco RoughRiders,8/14/2016,4:00pm,TRUE,8/14/2016,9:00 AM
8/23/2016,7:05pm,Drillers vs Arkansas Travelers,8/23/2016,10:00pm,TRUE,8/23/2016,1:00 PM
8/24/2016,7:05pm,Drillers vs Arkansas Travelers,8/24/2016,10:00pm,TRUE,8/24/2016,1:00 PM
8/25/2016,7:05pm,Drillers vs Arkansas Travelers,8/25/2016,10:00pm,TRUE,8/25/2016,1:00 PM
8/26/2016,7:05pm,Drillers vs Arkansas Travelers,8/26/2016,10:00pm,TRUE,8/26/2016,1:00 PM
9/3/2016,7:05pm,Drillers vs Springfield Cardinals,9/3/2016,10:00pm,TRUE,9/3/2016,1:00 PM
9/4/2016,7:05pm,Drillers vs Springfield Cardinals,9/4/2016,10:00pm,TRUE,9/4/2016,1:00 PM
9/5/2016,6:05pm,Drillers vs Springfield Cardinals,9/5/2016,9:00pm,TRUE,9/5/2016,1:00 PM
